timestamp,app_name,total_connections,unique_destinations,services_accessed,email_connections
2024-11-16T13:41:28.371983,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:28.371983,firefox,3,3,WEB,0
2024-11-16T13:41:28.371983,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:28.371983,warp-terminal,3,3,WEB,0
2024-11-16T13:41:28.371983,brave,10,11,"WEB,OTHER",0
2024-11-16T13:41:28.371983,Code,1,1,WEB,0
2024-11-16T13:41:28.371983,vdb,1,1,OTHER,0
2024-11-16T13:41:28.371983,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:28.371983,NetworkManager,2,2,OTHER,0
2024-11-16T13:41:36.366657,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:36.366657,firefox,3,3,WEB,0
2024-11-16T13:41:36.366657,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:36.366657,warp-terminal,3,3,WEB,0
2024-11-16T13:41:36.366657,brave,11,12,"WEB,OTHER",0
2024-11-16T13:41:36.366657,Code,1,1,WEB,0
2024-11-16T13:41:36.366657,vdb,1,1,OTHER,0
2024-11-16T13:41:36.366657,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:36.366657,NetworkManager,2,2,OTHER,0
2024-11-16T13:41:41.656595,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:41.656595,firefox,3,3,WEB,0
2024-11-16T13:41:41.656595,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:41.656595,warp-terminal,3,3,WEB,0
2024-11-16T13:41:41.656595,brave,11,11,"WEB,OTHER",0
2024-11-16T13:41:41.656595,Code,1,1,WEB,0
2024-11-16T13:41:41.656595,vdb,1,1,OTHER,0
2024-11-16T13:41:41.656595,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:41.656595,NetworkManager,2,2,OTHER,0
2024-11-16T13:41:47.016316,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:47.016316,firefox,3,3,WEB,0
2024-11-16T13:41:47.016316,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:47.016316,warp-terminal,3,3,WEB,0
2024-11-16T13:41:47.016316,brave,11,12,"WEB,OTHER",0
2024-11-16T13:41:47.016316,Code,1,1,WEB,0
2024-11-16T13:41:47.016316,vdb,1,1,OTHER,0
2024-11-16T13:41:47.016316,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:47.016316,NetworkManager,2,2,OTHER,0
2024-11-16T13:41:52.435954,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:52.435954,firefox,3,3,WEB,0
2024-11-16T13:41:52.435954,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:52.435954,warp-terminal,3,3,WEB,0
2024-11-16T13:41:52.435954,brave,11,11,"WEB,OTHER",0
2024-11-16T13:41:52.435954,Code,1,1,WEB,0
2024-11-16T13:41:52.435954,vdb,1,1,OTHER,0
2024-11-16T13:41:52.435954,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:52.435954,NetworkManager,2,2,OTHER,0
2024-11-16T13:41:57.807324,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:41:57.807324,firefox,3,3,WEB,0
2024-11-16T13:41:57.807324,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:41:57.807324,warp-terminal,4,4,WEB,0
2024-11-16T13:41:57.807324,brave,11,11,"WEB,OTHER",0
2024-11-16T13:41:57.807324,Code,1,1,WEB,0
2024-11-16T13:41:57.807324,vdb,1,1,OTHER,0
2024-11-16T13:41:57.807324,WD-TabNine,1,1,WEB,0
2024-11-16T13:41:57.807324,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:03.269189,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:03.269189,firefox,3,3,WEB,0
2024-11-16T13:42:03.269189,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:03.269189,warp-terminal,4,4,WEB,0
2024-11-16T13:42:03.269189,brave,11,12,"WEB,OTHER",0
2024-11-16T13:42:03.269189,ssh,1,1,FILE-TRANSFER,0
2024-11-16T13:42:03.269189,Code,1,1,WEB,0
2024-11-16T13:42:03.269189,vdb,1,1,OTHER,0
2024-11-16T13:42:03.269189,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:03.269189,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:08.578319,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:08.578319,firefox,3,3,WEB,0
2024-11-16T13:42:08.578319,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:08.578319,warp-terminal,4,4,WEB,0
2024-11-16T13:42:08.578319,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:08.578319,Code,1,1,WEB,0
2024-11-16T13:42:08.578319,vdb,1,1,OTHER,0
2024-11-16T13:42:08.578319,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:08.578319,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:13.866229,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:13.866229,firefox,3,3,WEB,0
2024-11-16T13:42:13.866229,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:13.866229,warp-terminal,4,4,WEB,0
2024-11-16T13:42:13.866229,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:13.866229,Code,1,1,WEB,0
2024-11-16T13:42:13.866229,vdb,1,1,OTHER,0
2024-11-16T13:42:13.866229,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:13.866229,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:19.150175,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:19.150175,firefox,3,3,WEB,0
2024-11-16T13:42:19.150175,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:19.150175,warp-terminal,4,4,WEB,0
2024-11-16T13:42:19.150175,brave,12,13,"WEB,OTHER",0
2024-11-16T13:42:19.150175,Code,1,1,WEB,0
2024-11-16T13:42:19.150175,vdb,1,1,OTHER,0
2024-11-16T13:42:19.150175,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:19.150175,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:24.460475,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:24.460475,firefox,3,3,WEB,0
2024-11-16T13:42:24.460475,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:24.460475,warp-terminal,4,4,WEB,0
2024-11-16T13:42:24.460475,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:24.460475,Code,1,1,WEB,0
2024-11-16T13:42:24.460475,vdb,1,1,OTHER,0
2024-11-16T13:42:24.460475,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:24.460475,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:29.887366,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:29.887366,firefox,3,3,WEB,0
2024-11-16T13:42:29.887366,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:29.887366,warp-terminal,4,4,WEB,0
2024-11-16T13:42:29.887366,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:29.887366,Code,1,1,WEB,0
2024-11-16T13:42:29.887366,vdb,1,1,OTHER,0
2024-11-16T13:42:29.887366,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:29.887366,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:35.173305,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:35.173305,firefox,3,3,WEB,0
2024-11-16T13:42:35.173305,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:35.173305,warp-terminal,4,4,WEB,0
2024-11-16T13:42:35.173305,brave,12,13,"WEB,OTHER",0
2024-11-16T13:42:35.173305,Code,1,1,WEB,0
2024-11-16T13:42:35.173305,vdb,1,1,OTHER,0
2024-11-16T13:42:35.173305,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:35.173305,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:40.474833,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:40.474833,firefox,3,3,WEB,0
2024-11-16T13:42:40.474833,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:40.474833,warp-terminal,4,4,WEB,0
2024-11-16T13:42:40.474833,brave,12,13,"WEB,OTHER",0
2024-11-16T13:42:40.474833,Code,1,1,WEB,0
2024-11-16T13:42:40.474833,vdb,1,1,OTHER,0
2024-11-16T13:42:40.474833,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:40.474833,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:45.834949,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:45.834949,firefox,3,3,WEB,0
2024-11-16T13:42:45.834949,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:45.834949,warp-terminal,4,4,WEB,0
2024-11-16T13:42:45.834949,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:45.834949,Code,1,1,WEB,0
2024-11-16T13:42:45.834949,vdb,1,1,OTHER,0
2024-11-16T13:42:45.834949,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:45.834949,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:51.151460,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:51.151460,firefox,3,3,WEB,0
2024-11-16T13:42:51.151460,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:51.151460,warp-terminal,4,4,WEB,0
2024-11-16T13:42:51.151460,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:51.151460,Code,1,1,WEB,0
2024-11-16T13:42:51.151460,vdb,1,1,OTHER,0
2024-11-16T13:42:51.151460,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:51.151460,NetworkManager,2,2,OTHER,0
2024-11-16T13:42:56.589270,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:42:56.589270,firefox,3,3,WEB,0
2024-11-16T13:42:56.589270,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:42:56.589270,warp-terminal,4,4,WEB,0
2024-11-16T13:42:56.589270,brave,12,12,"WEB,OTHER",0
2024-11-16T13:42:56.589270,Code,2,2,WEB,0
2024-11-16T13:42:56.589270,vdb,1,1,OTHER,0
2024-11-16T13:42:56.589270,WD-TabNine,1,1,WEB,0
2024-11-16T13:42:56.589270,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:01.880368,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:01.880368,firefox,3,3,WEB,0
2024-11-16T13:43:01.880368,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:01.880368,warp-terminal,4,4,WEB,0
2024-11-16T13:43:01.880368,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:01.880368,Code,2,2,WEB,0
2024-11-16T13:43:01.880368,vdb,1,1,OTHER,0
2024-11-16T13:43:01.880368,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:01.880368,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:07.353615,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:07.353615,firefox,3,3,WEB,0
2024-11-16T13:43:07.353615,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:07.353615,warp-terminal,4,4,WEB,0
2024-11-16T13:43:07.353615,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:07.353615,Code,2,2,WEB,0
2024-11-16T13:43:07.353615,vdb,1,1,OTHER,0
2024-11-16T13:43:07.353615,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:07.353615,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:12.696714,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:12.696714,firefox,3,3,WEB,0
2024-11-16T13:43:12.696714,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:12.696714,warp-terminal,3,3,WEB,0
2024-11-16T13:43:12.696714,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:12.696714,Code,2,2,WEB,0
2024-11-16T13:43:12.696714,vdb,1,1,OTHER,0
2024-11-16T13:43:12.696714,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:12.696714,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:18.340351,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:18.340351,firefox,3,3,WEB,0
2024-11-16T13:43:18.340351,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:18.340351,warp-terminal,3,3,WEB,0
2024-11-16T13:43:18.340351,brave,12,13,"WEB,OTHER",0
2024-11-16T13:43:18.340351,Code,2,2,WEB,0
2024-11-16T13:43:18.340351,vdb,1,1,OTHER,0
2024-11-16T13:43:18.340351,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:18.340351,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:23.664833,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:23.664833,firefox,3,3,WEB,0
2024-11-16T13:43:23.664833,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:23.664833,warp-terminal,3,3,WEB,0
2024-11-16T13:43:23.664833,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:23.664833,Code,2,2,WEB,0
2024-11-16T13:43:23.664833,vdb,1,1,OTHER,0
2024-11-16T13:43:23.664833,WD-TabNine,1,1,WEB,0
2024-11-16T13:43:23.664833,NetworkManager,2,2,OTHER,0
2024-11-16T13:43:29.823614,TabNine-dee,3,2,"OTHER,WEB",0
2024-11-16T13:43:29.823614,firefox,3,3,WEB,0
2024-11-16T13:43:29.823614,TabNine,4,3,"OTHER,WEB",0
2024-11-16T13:43:29.823614,warp-terminal,3,3,WEB,0
2024-11-16T13:43:29.823614,brave,12,12,"WEB,OTHER",0
2024-11-16T13:43:29.823614,Code,2,2,WEB,0
2024-11-16T13:43:29.823614,vdb,1,1,OTHER,0
